region,area,dt/ha,dt
Polska,1016150,"27,9",28314854
Dolnośląskie,68036,"31,1",2113294
Kujawsko-pomorskie,114231,"27,2",3103677
Lubelskie,123045,"30,1",3701833
Lubuskie,29206,"17,5",511755
Łódzkie,43407,"24,2",1052161
Małopolskie,45483,"30,8",1400383
Mazowieckie,49814,"27,2",1357166
Opolskie,64041,"36,1",2311154
Podkarpackie,21401,"29,8",638775
Podlaskie,25133,"25,2",634582
Pomorskie,55240,"26,6",1466793
Śląskie,37773,"32,2",1216327
Świętokrzyskie,60897,"26,9",1635767
Warmińsko-mazurskie,48703,"28,9",1407025
Wielkopolskie,154539,"25,9",3996900
Zachodniopomorskie,75201,"23,5",1767262
