region,area,dt/ha,dt
Polska,951108,"34,4",32758057
Dolnośląskie,131971,33,4359588
Kujawsko-pomorskie,115648,"34,9",4034590
Lubelskie,71042,"29,5",2097013
Lubuskie,37038,36,1332623
Łódzkie,21979,"33,2",728639
Małopolskie,8286,"34,1",282247
Mazowieckie,39048,"31,8",1243032
Opolskie,76569,"39,4",3014961
Podkarpackie,20722,"28,5",590679
Podlaskie,10487,"32,2",337830
Pomorskie,82601,"36,7",3033604
Śląskie,21432,"32,9",704405
Świętokrzyskie,8567,"30,6",262434
Warmińsko-mazurskie,76130,"30,3",2304497
Wielkopolskie,118804,36,4275605
Zachodniopomorskie,110783,"37,5",4156310
