region,area,dt/ha,dt
Polska,720308,"25,9",18655983
Dolnośląskie,110320,23,2535984
Kujawsko-pomorskie,49261,"23,8",1172047
Lubelskie,43668,"24,2",1056821
Lubuskie,33140,"28,7",950833
Łódzkie,10400,"18,1",188166
Małopolskie,4937,"30,8",152171
Mazowieckie,42122,"25,2",1060763
Opolskie,54373,"30,5",1657186
Podkarpackie,18823,"21,6",407402
Podlaskie,8043,28,225467
Pomorskie,54591,"29,2",1595396
Śląskie,18958,"26,7",505662
Świętokrzyskie,8330,"24,2",201795
Warmińsko-mazurskie,70081,26,1823304
Wielkopolskie,86504,"23,6",2038399
Zachodniopomorskie,106757,"28,9",3084587
