region,area,dt/ha,dt
Polska,1306025,"40,2",52 466 470
Dolnośląskie,39 260,44,1 727 532
Kujawsko-pomorskie,102 804,"43,9",4 515 852
Lubelskie,136 456,38,5 186 137
Lubuskie,40 313,"47,8",1 926 450
Łódzkie,127 221,"39,8",5 061 571
Małopolskie,21 053,"32,4",681 579
Mazowieckie,201 966,"33,6",6 790 891
Opolskie,28 735,47,1 350 911
Podkarpackie,26 150,"31,5",824 510
Podlaskie,80 561,"34,3",2 760 793
Pomorskie,65 730,"39,6",2 602 329
Śląskie,37 474,"38,9",1 459 104
Świętokrzyskie,47 786,"32,1",1 532 873
Warmińsko-mazurskie,82 190,"41,4",3 406 558
Wielkopolskie,213 124,"46,9",9 994 383
Zachodniopomorskie,55 202,"47,9",2 644 997
