region,area,dt/ha,dt
Polska,1 415 336,"24,1",34 043 116
Dolnośląskie,43 337,"30,8",1 336 090
Kujawsko-pomorskie,80 492,"23,6",1 903 397
Lubelskie,96 224,"23,8",2 294 554
Lubuskie,54 305,"24,3",1 322 268
Łódzkie,186 567,"22,3",4 161 734
Małopolskie,9 780,"26,3",257 222
Mazowieckie,309 713,"22,3",6 916 589
Opolskie,15 368,"33,8",519 875
Podkarpackie,24 888,"24,3",605 482
Podlaskie,103 919,"23,4",2 433 471
Pomorskie,73 089,23,1 680 625
Śląskie,29 893,"28,8",861 141
Świętokrzyskie,39 367,"22,7",893 656
Warmińsko-mazurskie,33 341,21,698 580
Wielkopolskie,226 159,"25,4",5 747 464
Zachodniopomorskie,88 895,"27,1",2 410 968
