region,area,dt/ha,dt
Polska,550 200,"26,3",14 497 557
Dolnośląskie,74 846,"29,1",2 178 711
Kujawsko-pomorskie,65 361,"30,8",2 012 420
Lubelskie,29 267,"20,4",596 308
Lubuskie,16 778,"27,5",461 564
Łódzkie,8 627,"22,9",197 240
Małopolskie,2 823,29,81 838
Mazowieckie,23 339,"18,8",439 344
Opolskie,55 079,25,1 378 585
Podkarpackie,10 266,"20,7",212 105
Podlaskie,2 449,"28,4",69 570
Pomorskie,43 477,"25,5",1 110 225
Śląskie,13 803,"26,8",370 139
Świętokrzyskie,3 431,"29,1",99 676
Warmińsko-mazurskie,45 829,"21,7",993 020
Wielkopolskie,72 013,"30,5",2 198 566
Zachodniopomorskie,82 811,"25,3",2 098 246
