region,area,dt/ha,dt
Polska,539 074,"19,2",10 347 199
Dolnośląskie,22 741,"23,7",537 877
Kujawsko-pomorskie,13 275,"21,3",282 943
Lubelskie,66 041,"16,5",1 092 615
Lubuskie,13 372,"14,5",193 548
Łódzkie,37 455,19,711 526
Małopolskie,20 926,"20,9",436 598
Mazowieckie,110 236,"17,3",1 906 965
Opolskie,7 875,"27,5",216 819
Podkarpackie,29 758,22,655 959
Podlaskie,46 788,"18,4",861 520
Pomorskie,30 836,"19,5",601 000
Śląskie,11 548,"22,5",259 867
Świętokrzyskie,18 290,"15,8",289 305
Warmińsko-mazurskie,27 580,"21,7",597 246
Wielkopolskie,38 135,20,760 999
Zachodniopomorskie,44 218,"21,3",942 412
