region,area,dt/ha,dt
Polska,2310742,"42,8",98924822
Dolnośląskie,282508,"48,7",13760952
Kujawsko-pomorskie,182200,"45,4",8277711
Lubelskie,267373,"35,3",9437548
Lubuskie,60715,"42,4",2572047
Łódzkie,89664,"36,5",3272047
Małopolskie,111423,34,3789872
Mazowieckie,134181,"36,1",4847885
Opolskie,152595,56,8538935
Podkarpackie,125030,"34,3",4288993
Podlaskie,43217,"30,7",1327186
Pomorskie,146120,"47,1",6889359
Śląskie,60867,"42,6",2595277
Świętokrzyskie,81851,"31,8",2606856
Warmińsko-mazurskie,157964,"43,3",6845930
Wielkopolskie,217511,"48,5",10539196
Zachodniopomorskie,197523,"47,3",9335028
