region,area,dt/ha,dt
Polska,808280,"40,5",32748261
Dolnośląskie,51381,"46,4",2385155
Kujawsko-pomorskie,83228,"40,2",3349152
Lubelskie,98416,"35,6",3506181
Lubuskie,21550,"44,1",950880
Łódzkie,45882,"36,3",1666363
Małopolskie,34715,"37,9",1315936
Mazowieckie,49774,"33,3",1657710
Opolskie,52409,"52,1",2728800
Podkarpackie,21533,"34,9",751368
Podlaskie,19482,"31,7",616955
Pomorskie,34513,"40,6",1399671
Śląskie,28305,"38,7",1094257
Świętokrzyskie,45649,"34,5",1577036
Warmińsko-mazurskie,32218,"37,4",1205412
Wielkopolskie,142456,"43,6",6217153
Zachodniopomorskie,46770,"49,7",2326232
