region,area,dt/ha,dt
Polska,826 946,"26,8",22 192 702
Dolnośląskie,119 107,"30,1",3 590 525
Kujawsko-pomorskie,84 321,"24,9",2 100 621
Lubelskie,70 565,"25,4",1 791 631
Lubuskie,33 865,"27,3",924 256
Łódzkie,15 994,"23,9",382 777
Małopolskie,7 970,"30,8",245 820
Mazowieckie,33 173,"21,4",710 403
Opolskie,76 095,"31,7",2 411 556
Podkarpackie,19 745,"24,9",491 064
Podlaskie,13 657,"25,7",351 394
Pomorskie,65 863,"27,8",1 833 062
Śląskie,21 161,30,635 231
Świętokrzyskie,7 718,25,193 101
Warmińsko-mazurskie,54 956,"23,5",1 289 870
Wielkopolskie,104 393,"27,1",2 832 622
Zachodniopomorskie,98 363,"24,5",2 408 769
