region,area,dt/ha,dt
Polska,2338782,"49,7",116286695
Dolnośląskie,275790,54,14886622
Kujawsko-pomorskie,219576,"52,4",11509678
Lubelskie,281647,"45,6",12829430
Lubuskie,57434,"54,5",3132466
Łódzkie,110913,"43,9",4868529
Małopolskie,89839,39,3504498
Mazowieckie,169129,"38,9",6586344
Opolskie,150012,"65,7",9852027
Podkarpackie,98274,"37,6",3698570
Podlaskie,46340,"36,1",1673617
Pomorskie,150623,"57,6",8681150
Śląskie,68500,"48,4",3318432
Świętokrzyskie,79387,"37,4",2965950
Warmińsko-mazurskie,145111,"48,2",6999822
Wielkopolskie,245367,"52,1",12782540
Zachodniopomorskie,150841,"59,6",8997020
