region,area,dt/ha,dt
Polska,36 397,"14,2",518 606
Dolnośląskie,1 695,"16,4",27 728
Kujawsko-pomorskie,617,"13,8",8 488
Lubelskie,404,"8,9",3 606
Lubuskie,8 157,"13,8",112 814
Łódzkie,619,"10,9",6 767
Małopolskie,384,"17,5",6 724
Mazowieckie,2 599,"17,3",45 008
Opolskie,47,"17,7",838
Podkarpackie,324,"14,2",4 597
Podlaskie,71,10,707
Pomorskie,939,"8,9",8 338
Śląskie,339,"6,5",2 203
Świętokrzyskie,4 905,"23,3",114 206
Warmińsko-mazurskie,144,"12,9",1 852
Wielkopolskie,8 414,8,67 243
Zachodniopomorskie,6 740,"15,9",107 487
