region,area,dt/ha,dt
Polska,311 620,285,88 724 452
Dolnośląskie,28 464,273,7 763 762
Kujawsko-pomorskie,20 239,304,6 142 630
Lubelskie,22 141,300,6 637 290
Lubuskie,4 777,316,1 509 654
Łódzkie,35 575,296,10 537 036
Małopolskie,23 153,240,5 557 953
Mazowieckie,36 101,286,10 340 602
Opolskie,9 465,353,3 339 808
Podkarpackie,24 383,252,6 143 275
Podlaskie,8 683,220,1 912 685
Pomorskie,19 454,299,5 818 836
Śląskie,8 397,282,2 371 003
Świętokrzyskie,13 892,260,3 611 521
Warmińsko-mazurskie,8 318,267,2 220 638
Wielkopolskie,33 680,290,9 755 692
Zachodniopomorskie,14 898,340,5 062 067
