region,area,dt/ha,dt
Polska,58 529,"10,9",635 241
Dolnośląskie,7 758,"11,8",91 648
Kujawsko-pomorskie,303,"9,2",2 781
Lubelskie,13 685,"9,9",135 427
Lubuskie,2 119,"9,8",20 817
Łódzkie,1 704,"9,4",15 992
Małopolskie,366,"13,6",4 963
Mazowieckie,4 574,"8,5",38 695
Opolskie,190,"10,1",1 923
Podkarpackie,3 009,"11,6",34 855
Podlaskie,3 430,"10,7",36 751
Pomorskie,7 136,"11,9",84 610
Śląskie,1 003,10,9 991
Świętokrzyskie,1 403,"13,2",18 580
Warmińsko-mazurskie,4 692,"12,3",57 791
Wielkopolskie,1 160,"9,2",10 729
Zachodniopomorskie,5 997,"11,6",69 688
