region,area,dt/ha,dt
Polska,519734,"27,5",14304676
Dolnośląskie,20887,"32,7",682880
Kujawsko-pomorskie,12106,"30,4",368579
Lubelskie,73990,28,2075188
Lubuskie,11448,"30,7",351113
Łódzkie,38632,"27,8",1075245
Małopolskie,21262,"25,5",541954
Mazowieckie,99215,"24,1",2387892
Opolskie,7818,"36,7",286985
Podkarpackie,30086,"26,2",789739
Podlaskie,44938,"24,7",1110218
Pomorskie,28110,"26,5",745863
Śląskie,13785,"30,8",424534
Świętokrzyskie,18470,22,407102
Warmińsko-mazurskie,19467,"27,8",540517
Wielkopolskie,44134,"31,3",1382387
Zachodniopomorskie,35386,"32,1",1134480
