region,area,dt/ha,dt
Polska,1058193,"35,2",37232712
Dolnośląskie,19917,"37,5",747808
Kujawsko-pomorskie,109644,"37,6",4127368
Lubelskie,85313,"29,9",2548916
Lubuskie,32330,"38,5",1246069
Łódzkie,85895,"33,4",2868579
Małopolskie,16236,"27,8",451588
Mazowieckie,148782,"31,6",4700772
Opolskie,20977,"40,5",849098
Podkarpackie,17020,"28,6",486660
Podlaskie,80355,"30,7",2467328
Pomorskie,46950,"34,2",1604552
Śląskie,25125,"34,8",874910
Świętokrzyskie,28328,"27,4",776825
Warmińsko-mazurskie,89782,"30,9",2777259
Wielkopolskie,206688,"43,3",8948655
Zachodniopomorskie,44851,"39,2",1756325
