region,area,dt/ha,dt
Polska,1 333 462,"33,4",44 596 137
Dolnośląskie,26 689,"33,2",884 765
Kujawsko-pomorskie,136 932,"35,9",4 912 306
Lubelskie,120 193,"32,8",3 947 445
Lubuskie,34 021,"28,4",966 261
Łódzkie,131 701,"33,6",4 428 519
Małopolskie,17 903,"29,4",526 441
Mazowieckie,190 578,"31,6",6 016 488
Opolskie,25 499,"43,9",1 119 496
Podkarpackie,24 553,"29,5",725 449
Podlaskie,87 976,31,2 730 570
Pomorskie,67 582,"31,1",2 098 897
Śląskie,33 846,"35,3",1 196 309
Świętokrzyskie,42 289,"31,8",1 345 875
Warmińsko-mazurskie,86 342,"36,4",3 146 224
Wielkopolskie,256 876,"34,9",8 974 472
Zachodniopomorskie,50 483,"31,2",1 576 620
