region,area,dt/ha,dt
Polska,670 295,"47,1",31 562 119
Dolnośląskie,89 858,"49,1",4 414 156
Kujawsko-pomorskie,86 368,"47,4",4 094 000
Lubelskie,38 800,"42,5",1 648 643
Lubuskie,19 327,42,811 909
Łódzkie,30 644,"35,8",1 096 648
Małopolskie,24 893,"55,1",1 371 681
Mazowieckie,52 741,"48,4",2 554 444
Opolskie,53 760,47,2 527 006
Podkarpackie,25 958,"56,4",1 465 281
Podlaskie,24 271,"36,8",893 025
Pomorskie,8 336,"50,3",419 545
Śląskie,20 201,"50,7",1 023 718
Świętokrzyskie,6 457,"45,1",290 950
Warmińsko-mazurskie,12 422,"46,4",576 302
Wielkopolskie,167 860,"47,3",7 942 666
Zachodniopomorskie,8 399,"51,5",432 145
