region,area,dt/ha,dt
Polska,1 395 702,"26,6",37 128 929
Dolnośląskie,48 993,"29,7",1 457 248
Kujawsko-pomorskie,76 418,"27,2",2 082 031
Lubelskie,92 965,"24,4",2 264 707
Lubuskie,53 392,"28,1",1 500 893
Łódzkie,181 339,"25,6",4 648 396
Małopolskie,8 816,"26,1",230 182
Mazowieckie,292 763,"22,1",6 470 795
Opolskie,18 817,"36,1",678 506
Podkarpackie,25 869,"24,6",635 654
Podlaskie,101 045,"22,8",2 308 389
Pomorskie,61 841,"27,1",1 674 752
Śląskie,32 487,"26,5",862 485
Świętokrzyskie,33 301,"23,1",768 854
Warmińsko-mazurskie,52 831,"29,3",1 550 373
Wielkopolskie,218 878,30,6 555 799
Zachodniopomorskie,95 947,"35,9",3 439 865
