region,area,dt/ha,dt
Polska,69 830,"11,6",812 261
Dolnośląskie,12 528,"12,2",152 883
Kujawsko-pomorskie,425,"11,3",4 823
Lubelskie,14 913,"13,7",204 188
Lubuskie,4 394,"10,2",44 700
Łódzkie,1 489,"10,4",15 506
Małopolskie,87,"16,2",1 408
Mazowieckie,5 666,"9,4",53 275
Opolskie,107,"10,1",1 081
Podkarpackie,3 161,"13,6",42 840
Podlaskie,3 587,"9,7",34 916
Pomorskie,8 186,"9,9",81 271
Śląskie,1 148,"12,6",14 446
Świętokrzyskie,682,"10,8",7 366
Warmińsko-mazurskie,3 431,"12,5",42 903
Wielkopolskie,1 736,"12,4",21 515
Zachodniopomorskie,8 290,"10,8",89 140
