region,area,dt/ha,dt
Polska,886443,"31,5",27925934
Dolnośląskie,24681,"36,8",908333
Kujawsko-pomorskie,53661,"32,5",1742547
Lubelskie,53311,"30,4",1619419
Lubuskie,33188,37,1226755
Łódzkie,127762,"28,7",3669934
Małopolskie,7437,"29,4",218761
Mazowieckie,155367,"26,6",4136671
Opolskie,9867,"40,7",401165
Podkarpackie,13842,"27,4",379480
Podlaskie,44757,"26,2",1172305
Pomorskie,51399,"33,7",1731319
Śląskie,23389,"30,7",718630
Świętokrzyskie,18711,"25,9",484142
Warmińsko-mazurskie,27614,"33,1",913372
Wielkopolskie,182781,"33,5",6115616
Zachodniopomorskie,58676,"42,4",2487485
