region,area,dt/ha,dt
Polska,212 018,582,123 495 458
Dolnośląskie,19 581,608,11 901 673
Kujawsko-pomorskie,40 469,601,24 303 860
Lubelskie,33 096,524,17 327 231
Lubuskie,2 153,651,1 402 157
Łódzkie,7 695,506,3 892 689
Małopolskie,1 022,656,670 538
Mazowieckie,10 924,578,6 319 368
Opolskie,16 456,593,9 761 760
Podkarpackie,3 801,575,2 185 037
Podlaskie,111,443,49 213
Pomorskie,10 700,556,5 953 132
Śląskie,1 664,588,978 349
Świętokrzyskie,2 913,584,1 701 780
Warmińsko-mazurskie,3 214,525,1 685 744
Wielkopolskie,46 824,607,28 439 647
Zachodniopomorskie,11 395,608,6 923 280
