region,area,dt/ha,dt
Polska,276 927,278,76 891 803
Dolnośląskie,15195,293,4454521
Kujawsko-pomorskie,13726,272,3731966
Lubelskie,20897,282,5891703
Lubuskie,3188,313,997527
Łódzkie,34960,291,10164103
Małopolskie,24728,250,6182745
Mazowieckie,34413,246,8481854
Opolskie,6468,376,2432414
Podkarpackie,26426,290,7661674
Podlaskie,10625,224,2380342
Pomorskie,17508,297,5193497
Śląskie,7560,300,2266640
Świętokrzyskie,15280,278,4246691
Warmińsko-mazurskie,6127,251,1535616
Wielkopolskie,31959,277,8841429
Zachodniopomorskie,7871,309,2429081
