region,area,dt/ha,dt
Polska,47849,"12,9",616973
Dolnośląskie,6527,"14,4",93682
Kujawsko-pomorskie,347,"13,9",4807
Lubelskie,18019,"13,7",246297
Lubuskie,1009,"13,3",13395
Łódzkie,768,"13,4",10278
Małopolskie,30,"13,6",408
Mazowieckie,3313,"9,6",31887
Opolskie,15,"14,5",218
Podkarpackie,1979,"14,5",28682
Podlaskie,2212,"10,6",23453
Pomorskie,3391,13,44153
Śląskie,164,"16,5",2706
Świętokrzyskie,1108,"13,2",14626
Warmińsko-mazurskie,3588,12,43116
Wielkopolskie,420,"12,2",5122
Zachodniopomorskie,4959,"10,9",54143
