region,area,dt/ha,dt
Polska,346 134,211,72 904 272
Dolnośląskie,19508,246,4795625
Kujawsko-pomorskie,18553,235,4354899
Lubelskie,28046,224,6294088
Lubuskie,4169,232,969232
Łódzkie,38643,192,7411076
Małopolskie,26658,170,4526588
Mazowieckie,47174,204,9630340
Opolskie,7604,256,1945909
Podkarpackie,27474,190,5215027
Podlaskie,23947,190,4550158
Pomorskie,20035,237,4757480
Śląskie,8757,181,1588492
Świętokrzyskie,17324,169,2920077
Warmińsko-mazurskie,13194,211,2785363
Wielkopolskie,33357,249,8308412
Zachodniopomorskie,11690,244,2851506
