region,area,dt/ha,dt
Polska,187 484,465,87 151 221
Dolnośląskie,19 926,461,9 193 770
Kujawsko-pomorskie,30 894,522,16 111 918
Lubelskie,29 966,455,13 626 793
Lubuskie,1 396,409,570 638
Łódzkie,6 699,438,2 936 560
Małopolskie,1 034,629,650 022
Mazowieckie,16 060,382,6 139 520
Opolskie,10 757,601,6 465 605
Podkarpackie,3 980,485,1 930 956
Podlaskie,41,471,19 296
Pomorskie,8 520,473,4 028 300
Śląskie,1 469,594,872 107
Świętokrzyskie,5 713,419,2 396 471
Warmińsko-mazurskie,2 782,506,1 407 870
Wielkopolskie,39 594,438,17 341 598
Zachodniopomorskie,8 653,400,3 459 797
