region,area,dt/ha,dt
Polska,513802,"28,6",14678978
Dolnośląskie,23804,"31,3",745582
Kujawsko-pomorskie,19771,"31,3",619095
Lubelskie,66816,"28,2",1882128
Lubuskie,14429,29,418002
Łódzkie,46935,"27,7",1300785
Małopolskie,17531,"26,4",462431
Mazowieckie,86247,"25,3",2182764
Opolskie,6771,"38,6",261469
Podkarpackie,25147,"27,5",692150
Podlaskie,45087,"27,8",1251277
Pomorskie,35708,"29,1",1038085
Śląskie,13921,"31,9",443765
Świętokrzyskie,13267,"23,2",307209
Warmińsko-mazurskie,22882,"31,3",715740
Wielkopolskie,50214,"31,5",1583777
Zachodniopomorskie,25273,"30,7",774719
