region,area,dt/ha,dt
Polska,1 194 282,"26,8",31 969 573
Dolnośląskie,26 000,"28,5",740 165
Kujawsko-pomorskie,115 888,"31,9",3 691 319
Lubelskie,116 316,"18,9",2 196 789
Lubuskie,33 513,"22,8",762 647
Łódzkie,113 481,"26,1",2 963 200
Małopolskie,14 188,"22,6",319 967
Mazowieckie,135 319,"23,5",3 183 369
Opolskie,26 090,30,783 328
Podkarpackie,23 222,"21,2",493 003
Podlaskie,85 560,26,2 228 036
Pomorskie,63 955,29,1 854 188
Śląskie,28 709,"22,4",643 783
Świętokrzyskie,34 906,20,696 465
Warmińsko-mazurskie,89 019,"25,3",2 248 345
Wielkopolskie,235 463,"32,1",7 565 941
Zachodniopomorskie,52 653,"30,4",1 599 028
