region,area,dt/ha,dt
Polska,80 432,"6,7",541 609
Dolnośląskie,12 904,"10,4",134 621
Kujawsko-pomorskie,252,"5,5",1 395
Lubelskie,17 230,7,120 417
Lubuskie,2 999,"4,9",14 707
Łódzkie,2 230,"7,9",17 696
Małopolskie,176,"11,3",1 986
Mazowieckie,4 634,"5,5",25 308
Opolskie,267,"12,3",3 297
Podkarpackie,1 953,"8,3",16 303
Podlaskie,3 744,"4,6",17 177
Pomorskie,8 195,"4,4",36 399
Śląskie,519,"3,1",1 620
Świętokrzyskie,1 138,6,6 828
Warmińsko-mazurskie,7 884,"7,9",62 572
Wielkopolskie,3 529,"5,1",17 936
Zachodniopomorskie,12 778,5,63 347
