region,area,dt/ha,dt
Polska,426270,"18,6",7929707
Dolnośląskie,54302,"19,3",1049355
Kujawsko-pomorskie,45271,"20,1",911701
Lubelskie,16831,"23,3",392094
Lubuskie,13613,"16,6",225959
Łódzkie,5652,20,112948
Małopolskie,1510,"20,7",31193
Mazowieckie,14985,"17,9",268054
Opolskie,36649,"21,4",782506
Podkarpackie,7184,"17,6",126344
Podlaskie,2313,"16,7",38729
Pomorskie,33201,"17,9",594769
Śląskie,9059,"20,1",182237
Świętokrzyskie,1143,"18,5",21180
Warmińsko-mazurskie,47875,18,862331
Wielkopolskie,67369,"16,8",1131693
Zachodniopomorskie,69313,"17,3",1198614
