region,area,dt/ha,dt
Polska,2 175 725,"32,4",70 596 714
Dolnośląskie,260 458,"35,5",9 244 412
Kujawsko-pomorskie,163 239,"37,1",6 049 503
Lubelskie,261 621,"26,3",6 887 822
Lubuskie,60 324,"25,1",1 512 310
Łódzkie,87 290,"27,9",2 432 555
Małopolskie,102 807,25,2 569 964
Mazowieckie,151 875,"27,3",4 141 231
Opolskie,147 055,"42,1",6 193 647
Podkarpackie,123 783,"27,4",3 393 959
Podlaskie,39 640,"24,5",972 933
Pomorskie,130 800,"42,5",5 559 221
Śląskie,59 045,"29,6",1 749 299
Świętokrzyskie,73 922,"21,9",1 617 845
Warmińsko-mazurskie,127 503,"36,4",4 641 965
Wielkopolskie,186 232,"34,6",6 445 720
Zachodniopomorskie,200 131,"35,9",7 184 328
