region,area,dt/ha,dt
Polska,597 230,150,89 819 758
Dolnośląskie,29 512,167,4 915 912
Kujawsko-pomorskie,27 092,159,4 310 598
Lubelskie,49 282,155,7 638 206
Lubuskie,12 139,108,1 310 256
Łódzkie,60 790,142,8 659 502
Małopolskie,44 763,150,6 716 933
Mazowieckie,99 686,135,13 435 780
Opolskie,12 818,169,2 160 757
Podkarpackie,54 738,157,8 593 415
Podlaskie,30 754,147,4 520 914
Pomorskie,31 399,178,5 582 264
Śląskie,18 074,151,2 730 161
Świętokrzyskie,30 097,150,4 514 185
Warmińsko-mazurskie,14 963,152,2 275 892
Wielkopolskie,54 461,153,8 311 249
Zachodniopomorskie,26 662,155,4 143 734
