region,area,dt/ha,dt
Polska,771 069,"27,3",21 058 435
Dolnośląskie,113 373,"26,4",2 997 386
Kujawsko-pomorskie,105 451,"29,1",3 065 757
Lubelskie,43 097,"20,3",875 400
Lubuskie,26 031,"26,1",679 503
Łódzkie,15 356,"25,8",395 553
Małopolskie,4 457,"29,3",130 803
Mazowieckie,28 900,"26,7",771 934
Opolskie,74 193,"29,5",2 189 254
Podkarpackie,11 257,24,270 183
Podlaskie,3 600,26,93 553
Pomorskie,51 874,"30,4",1 576 098
Śląskie,18 192,27,491 654
Świętokrzyskie,6 265,"24,9",155 797
Warmińsko-mazurskie,58 205,25,1 457 639
Wielkopolskie,112 393,"28,6",3 220 049
Zachodniopomorskie,98 425,"27,3",2 687 872
