region,area,dt/ha,dt
Polska,477 854,"28,4",13 580 786
Dolnośląskie,18 148,"34,4",624 157
Kujawsko-pomorskie,11 817,"29,3",346 425
Lubelskie,61 811,"29,3",1 812 567
Lubuskie,7 145,"28,8",206 019
Łódzkie,50 667,"27,6",1 400 524
Małopolskie,16 224,"26,7",433 842
Mazowieckie,94 060,"25,2",2 372 864
Opolskie,5 794,"36,5",211 198
Podkarpackie,20 514,"28,1",576 544
Podlaskie,46 593,"25,7",1 196 255
Pomorskie,28 644,"31,2",894 985
Śląskie,12 836,34,435 921
Świętokrzyskie,13 315,"22,1",294 698
Warmińsko-mazurskie,24 624,"30,6",754 304
Wielkopolskie,39 165,"28,4",1 113 114
Zachodniopomorskie,26 497,"34,2",907 369
