region,area,dt/ha,dt
Polska,830149,"22,4",18618074
Dolnośląskie,125255,26,3252061
Kujawsko-pomorskie,104850,"19,3",2024434
Lubelskie,40122,"24,1",968877
Lubuskie,39026,"20,2",787921
Łódzkie,17819,"19,5",346732
Małopolskie,3893,"25,7",100089
Mazowieckie,50667,"22,2",1122590
Opolskie,87054,"29,1",2532756
Podkarpackie,16837,"22,4",376425
Podlaskie,6981,"26,4",184269
Pomorskie,59345,"23,1",1373278
Śląskie,16001,"25,2",402918
Świętokrzyskie,5340,"20,4",108799
Warmińsko-mazurskie,59518,"21,1",1256522
Wielkopolskie,127502,"20,2",2575347
Zachodniopomorskie,69942,"17,2",1205056
