region,area,dt/ha,dt
Polska,809 970,"30,8",24 968 245
Dolnośląskie,109 515,"30,1",3 294 766
Kujawsko-pomorskie,119 399,"30,8",3 682 357
Lubelskie,39 425,21,827 795
Lubuskie,32 000,"35,3",1 130 066
Łódzkie,16 937,"27,5",466 514
Małopolskie,4 680,"31,8",148 609
Mazowieckie,28 770,"25,8",741 270
Opolskie,71 523,"35,6",2 545 575
Podkarpackie,13 014,"25,1",327 028
Podlaskie,5 124,"28,8",147 804
Pomorskie,55 656,"31,4",1 747 237
Śląskie,19 435,"27,9",542 471
Świętokrzyskie,8 103,23,186 097
Warmińsko-mazurskie,60 826,"26,1",1 586 853
Wielkopolskie,123 558,"34,2",4 230 456
Zachodniopomorskie,102 006,33,3 363 347
