region,area,dt/ha,dt
Polska,2137868,"44,4",94851829
Dolnośląskie,262535,"48,6",12756196
Kujawsko-pomorskie,198255,"48,6",9642194
Lubelskie,271603,"36,6",9948591
Lubuskie,51301,53,2718979
Łódzkie,103875,"36,6",3799739
Małopolskie,87933,"33,7",2959597
Mazowieckie,143325,"36,6",5249745
Opolskie,146224,"56,4",8251539
Podkarpackie,93237,"33,4",3117920
Podlaskie,40271,33,1330038
Pomorskie,138828,"52,9",7347553
Śląskie,62261,"41,2",2567063
Świętokrzyskie,76750,"31,2",2398206
Warmińsko-mazurskie,127368,"45,5",5799199
Wielkopolskie,197694,"48,9",9665785
Zachodniopomorskie,136408,"53,5",7299485
