region,area,dt/ha,dt
Polska,819994,"35,8",29335790
Dolnośląskie,51894,40,2074859
Kujawsko-pomorskie,84490,"37,9",3198909
Lubelskie,106471,"32,3",3438941
Lubuskie,18534,"40,1",743533
Łódzkie,52693,"30,2",1593958
Małopolskie,35290,"31,5",1111244
Mazowieckie,49344,32,1580881
Opolskie,56167,"42,3",2377461
Podkarpackie,19868,"29,2",579987
Podlaskie,18281,"29,6",540349
Pomorskie,35353,"37,4",1323096
Śląskie,28132,"32,8",922581
Świętokrzyskie,50801,"29,7",1506803
Warmińsko-mazurskie,35168,"35,6",1253307
Wielkopolskie,133771,"39,2",5245699
Zachodniopomorskie,43737,"42,2",1844182
