region,area,dt/ha,dt
Polska,526897,"22,4",11818878
Dolnośląskie,22157,"24,6",544105
Kujawsko-pomorskie,12138,"20,8",252739
Lubelskie,65363,"23,2",1519608
Lubuskie,11290,15,169395
Łódzkie,34770,"19,9",693637
Małopolskie,27516,"24,3",669955
Mazowieckie,92330,22,2027716
Opolskie,9345,"31,7",296680
Podkarpackie,29759,"25,4",756101
Podlaskie,51076,"21,6",1103259
Pomorskie,32523,21,682094
Śląskie,13314,"28,3",377334
Świętokrzyskie,18375,"20,6",378937
Warmińsko-mazurskie,25476,"26,8",682138
Wielkopolskie,43085,"19,6",845894
Zachodniopomorskie,38380,"21,3",819286
