region,area,dt/ha,dt
Polska,433812,"27,4",11900391
Dolnośląskie,16223,"30,6",497046
Kujawsko-pomorskie,12159,"30,6",372526
Lubelskie,62588,27,1690907
Lubuskie,7304,"29,9",218438
Łódzkie,34590,"25,8",892384
Małopolskie,14689,"24,7",362684
Mazowieckie,84807,"23,6",2000982
Opolskie,4714,"39,3",185311
Podkarpackie,22788,"25,3",576268
Podlaskie,40215,"26,8",1077671
Pomorskie,29085,"30,1",874564
Śląskie,11681,"29,3",342828
Świętokrzyskie,13732,"23,5",323298
Warmińsko-mazurskie,21412,"31,8",680865
Wielkopolskie,33985,"30,1",1023520
Zachodniopomorskie,23840,"32,8",781099
