region,area,dt/ha,dt
Polska,2 395 451,"45,7",109 577 872
Dolnośląskie,277 768,"51,9",14 404 528
Kujawsko-pomorskie,219 264,"45,4",9 954 490
Lubelskie,310 011,"44,1",13 674 509
Lubuskie,50 028,"43,8",2 189 132
Łódzkie,119 944,"36,3",4 351 905
Małopolskie,94 774,"35,8",3 392 543
Mazowieckie,180 387,"32,4",5 849 768
Opolskie,149 151,"58,4",8 707 052
Podkarpackie,100 057,"35,5",3 547 803
Podlaskie,52 680,"32,6",1 714 989
Pomorskie,153 735,"55,3",8 507 437
Śląskie,65 696,"43,5",2 855 722
Świętokrzyskie,76 856,"34,5",2 652 527
Warmińsko-mazurskie,150 888,"49,1",7 411 107
Wielkopolskie,230 101,"47,5",10 934 060
Zachodniopomorskie,164 111,"57,5",9 430 300
