region,area,dt/ha,dt
Polska,539 211,"24,6",13 241 342
Dolnośląskie,24 801,"31,1",771 086
Kujawsko-pomorskie,12 509,"23,1",288 979
Lubelskie,68 740,"23,8",1 637 437
Lubuskie,12 671,"26,8",339 542
Łódzkie,39 901,"23,1",923 502
Małopolskie,23 178,"24,7",572 362
Mazowieckie,100 887,"22,7",2 292 515
Opolskie,7 644,"35,2",269 074
Podkarpackie,29 835,"25,6",763 367
Podlaskie,53 506,"24,2",1 294 995
Pomorskie,31 113,"23,2",720 468
Śląskie,14 250,"27,4",390 929
Świętokrzyskie,17 522,"20,9",366 228
Warmińsko-mazurskie,23 673,"21,4",506 571
Wielkopolskie,39 576,"26,4",1 044 534
Zachodniopomorskie,39 405,"26,9",1 059 753
