region,area,dt/ha,dt
Polska,292402,427,124991748
Dolnośląskie,27970,425,11878490
Kujawsko-pomorskie,48464,468,22660472
Lubelskie,40319,454,18322649
Lubuskie,3248,398,1292553
Łódzkie,10085,424,4280942
Małopolskie,1932,438,845386
Mazowieckie,25561,372,9516524
Opolskie,21664,426,9228760
Podkarpackie,6927,413,2864200
Podlaskie,6615,364,2406381
Pomorskie,13598,422,5735449
Śląskie,3063,372,1138855
Świętokrzyskie,10050,439,4415655
Warmińsko-mazurskie,5218,378,1971662
Wielkopolskie,53534,426,22784309
Zachodniopomorskie,14154,399,5649461
