region,area,dt/ha,dt
Polska,180 119,520,93 644 668
Dolnośląskie,13 091,503,6 578 244
Kujawsko-pomorskie,37 102,472,17 507 014
Lubelskie,32 339,518,16 746 341
Lubuskie,1 271,582,739 847
Łódzkie,5 097,511,2 607 031
Małopolskie,854,677,578 228
Mazowieckie,11 049,562,6 208 099
Opolskie,10 417,506,5 270 514
Podkarpackie,3 680,529,1 947 628
Podlaskie,68,617,41 943
Pomorskie,9 211,568,5 227 381
Śląskie,1 165,585,681 712
Świętokrzyskie,3 358,554,1 861 536
Warmińsko-mazurskie,2 060,568,1 170 075
Wielkopolskie,39 909,527,21 015 683
Zachodniopomorskie,9 448,578,5 463 392
