region,area,dt/ha,dt
Polska,765771,179,137314991
Dolnośląskie,34223,180,6176317
Kujawsko-pomorskie,34422,198,6830021
Lubelskie,69315,178,12339091
Lubuskie,11745,168,1974247
Łódzkie,86120,156,13459484
Małopolskie,61277,179,10968956
Mazowieckie,119613,173,20713838
Opolskie,13792,188,2594159
Podkarpackie,61763,189,11672512
Podlaskie,49814,169,8418174
Pomorskie,31634,210,6645004
Śląskie,26978,195,5260606
Świętokrzyskie,44826,170,7619848
Warmińsko-mazurskie,22925,203,4661493
Wielkopolskie,71659,182,13045787
Zachodniopomorskie,25665,192,4935454
