region,area,dt/ha,dt
Polska,543 805,"73,5",39 958 506
Dolnośląskie,94 907,"74,3",7 048 700
Kujawsko-pomorskie,80 303,"69,4",5 574 266
Lubelskie,24 456,"60,6",1 482 027
Lubuskie,16 270,"72,6",1 181 113
Łódzkie,19 719,"74,4",1 466 861
Małopolskie,16 720,"72,4",1 210 992
Mazowieckie,34 370,"64,2",2 207 004
Opolskie,52 765,"91,7",4 841 051
Podkarpackie,20 025,"66,8",1 336 747
Podlaskie,8 615,"59,2",510 226
Pomorskie,3 936,"56,7",222 995
Śląskie,16 442,"76,8",1 262 921
Świętokrzyskie,3 293,"57,8",190 359
Warmińsko-mazurskie,9 296,"61,5",571 992
Wielkopolskie,135 129,77,10 407 360
Zachodniopomorskie,7 558,"58,7",443 892
