region,area,dt/ha,dt
Polska,286303,410,117395087
Dolnośląskie,27378,366,10023499
Kujawsko-pomorskie,49699,444,22067882
Lubelskie,40784,462,18830650
Lubuskie,2049,364,745674
Łódzkie,10807,400,4321547
Małopolskie,2060,425,875511
Mazowieckie,21178,362,7671927
Opolskie,21112,397,8381945
Podkarpackie,5798,485,2811034
Podlaskie,6826,360,2455397
Pomorskie,13782,461,6352940
Śląskie,2535,477,1209667
Świętokrzyskie,10285,396,4072100
Warmińsko-mazurskie,4372,512,2236863
Wielkopolskie,53954,377,20332808
Zachodniopomorskie,13684,366,5005643
