region,area,dt/ha,dt
Polska,1176700,"36,3",42 730 267
Dolnośląskie,33 514,"38,5",1 291 457
Kujawsko-pomorskie,95 716,"41,4",3 966 433
Lubelskie,110 858,"29,1",3 220 732
Lubuskie,36 434,"44,5",1 619 927
Łódzkie,110 041,"33,9",3 734 369
Małopolskie,16 268,"28,6",464 875
Mazowieckie,177 304,"30,9",5 472 498
Opolskie,25 782,"42,5",1 095 250
Podkarpackie,19 581,"27,6",540 459
Podlaskie,75 280,"30,9",2 328 957
Pomorskie,62 670,"35,3",2 214 515
Śląskie,35 093,"33,7",1 184 299
Świętokrzyskie,43 077,"28,4",1 223 703
Warmińsko-mazurskie,84 529,"40,7",3 443 574
Wielkopolskie,198 759,"43,5",8 641 945
Zachodniopomorskie,51 794,"44,2",2 287 274
