region,area,dt/ha,dt
Polska,588 184,176,103 692 526
Dolnośląskie,28 779,216,6 215 487
Kujawsko-pomorskie,27 367,170,4 656 176
Lubelskie,51 665,174,8 988 713
Lubuskie,12 706,189,2 399 299
Łódzkie,60 842,160,9 751 952
Małopolskie,49 075,178,8 735 552
Mazowieckie,78 920,160,12 627 862
Opolskie,10 705,213,2 278 808
Podkarpackie,53 414,164,8 759 324
Podlaskie,32 759,172,5 635 064
Pomorskie,29 629,183,5 426 385
Śląskie,23 711,204,4 836 988
Świętokrzyskie,30 315,170,5 153 140
Warmińsko-mazurskie,14 781,179,2 648 267
Wielkopolskie,58 945,180,10 602 883
Zachodniopomorskie,24 572,203,4 976 626
