region,area,dt/ha,dt
Polska,2308045,34,78581603
Dolnośląskie,277760,"37,2",10345809
Kujawsko-pomorskie,206205,"34,8",7185161
Lubelskie,266559,"31,9",8509642
Lubuskie,45717,"23,3",1066930
Łódzkie,89620,"27,4",2452758
Małopolskie,107238,"29,4",3150852
Mazowieckie,131527,"32,6",4286417
Opolskie,147515,"42,3",6243103
Podkarpackie,110982,30,3331199
Podlaskie,52446,"27,2",1428834
Pomorskie,145362,"40,9",5943885
Śląskie,59071,"36,5",2155106
Świętokrzyskie,83242,"28,2",2351242
Warmińsko-mazurskie,170797,"40,9",6983363
Wielkopolskie,217259,"32,7",7108102
Zachodniopomorskie,196745,"30,7",6039200
