region,area,dt/ha,dt
Polska,1 113 143,"32,2",35 811 556
Dolnośląskie,92 050,"39,1",3 602 747
Kujawsko-pomorskie,120 080,"29,3",3 514 642
Lubelskie,139 967,"30,1",4 213 239
Lubuskie,34 684,"31,1",1 079 038
Łódzkie,51 106,"28,3",1 445 941
Małopolskie,48 636,"33,2",1 616 235
Mazowieckie,59 346,"28,6",1 698 495
Opolskie,70 202,"43,1",3 024 155
Podkarpackie,31 545,"28,6",902 816
Podlaskie,21 295,"28,4",605 329
Pomorskie,50 900,"29,6",1 507 421
Śląskie,38 797,"33,1",1 285 152
Świętokrzyskie,60 452,"28,7",1 735 554
Warmińsko-mazurskie,53 855,24,1 291 228
Wielkopolskie,157 118,"35,7",5 602 173
Zachodniopomorskie,83 110,"32,3",2 687 391
