region,area,dt/ha,dt
Polska,2 384 016,"45,4",108 279 017
Dolnośląskie,287 350,"52,7",15 155 214
Kujawsko-pomorskie,219 687,43,9 447 539
Lubelskie,313 255,"49,4",15 474 446
Lubuskie,53 572,"45,8",2 454 806
Łódzkie,109 348,"35,2",3 848 314
Małopolskie,91 662,"39,4",3 610 393
Mazowieckie,156 697,"34,7",5 441 529
Opolskie,164 526,"59,6",9 806 159
Podkarpackie,94 639,"35,5",3 364 118
Podlaskie,50 106,"32,1",1 606 559
Pomorskie,154 173,"48,3",7 450 412
Śląskie,67 799,"47,3",3 204 695
Świętokrzyskie,76 071,"33,1",2 518 248
Warmińsko-mazurskie,157 885,"42,1",6 640 596
Wielkopolskie,220 120,"46,3",10 200 686
Zachodniopomorskie,167 126,"48,2",8 055 303
