region,area,dt/ha,dt
Polska,478572,"30,5",14586234
Dolnośląskie,18945,"34,6",654949
Kujawsko-pomorskie,11582,"32,3",374137
Lubelskie,67252,"30,2",2028854
Lubuskie,9143,"33,2",303296
Łódzkie,42426,"30,6",1297488
Małopolskie,18282,"26,8",489526
Mazowieckie,87652,27,2362249
Opolskie,4955,"40,1",198727
Podkarpackie,29093,"28,3",824217
Podlaskie,46174,"29,3",1352243
Pomorskie,26415,"33,6",887463
Śląskie,13101,"34,3",449103
Świętokrzyskie,15167,"25,5",386497
Warmińsko-mazurskie,22217,"32,6",723962
Wielkopolskie,45386,"33,2",1508253
Zachodniopomorskie,20785,"35,9",745270
