region,area,dt/ha,dt
Polska,678 250,"65,9",44 684 025
Dolnośląskie,91 214,"72,4",6 604 535
Kujawsko-pomorskie,95 401,"57,4",5 471 462
Lubelskie,47 282,63,2 976 671
Lubuskie,20 732,"70,8",1 468 379
Łódzkie,29 096,"63,2",1 839 457
Małopolskie,22 592,"73,1",1 651 097
Mazowieckie,56 093,"60,2",3 376 653
Opolskie,48 203,"82,8",3 991 811
Podkarpackie,26 776,"69,5",1 860 316
Podlaskie,32 032,"55,5",1 778 424
Pomorskie,10 944,"49,7",543 989
Śląskie,19 956,"76,2",1 521 587
Świętokrzyskie,6 801,"59,8",406 704
Warmińsko-mazurskie,18 150,"51,7",939 248
Wielkopolskie,143 962,"67,4",9 701 265
Zachodniopomorskie,9 016,"61,3",552 427
