region,area,dt/ha,dt
Polska,991797,"33,8",33 492 246
Dolnośląskie,26 797,"36,9",988 211
Kujawsko-pomorskie,62 103,"35,5",2 202 213
Lubelskie,98 100,"28,8",2 830 138
Lubuskie,35 009,"37,5",1 312 014
Łódzkie,74 646,"30,2",2 252 162
Małopolskie,15 961,31,495 543
Mazowieckie,183 831,"30,3",5 561 958
Opolskie,17 080,"41,9",715 479
Podkarpackie,18 218,30,546 253
Podlaskie,76 250,"31,7",2 417 408
Pomorskie,63 359,34,2 152 632
Śląskie,31 732,"34,5",1 094 588
Świętokrzyskie,36 943,"28,4",1 048 577
Warmińsko-mazurskie,79 534,"39,1",3 113 749
Wielkopolskie,125 064,39,4 872 011
Zachodniopomorskie,47 172,"40,1",1 889 310
