region,area,dt/ha,dt
Polska,1 206 559,30,36 194 635
Dolnośląskie,86 133,"35,3",3 041 986
Kujawsko-pomorskie,134 648,"25,4",3 414 924
Lubelskie,162 908,"33,4",5 443 964
Lubuskie,38 281,"19,7",755 626
Łódzkie,57 755,"26,9",1 551 462
Małopolskie,52 777,"33,9",1 790 567
Mazowieckie,66 851,"27,4",1 834 291
Opolskie,75 343,"43,9",3 309 655
Podkarpackie,28 764,"31,8",915 279
Podlaskie,24 762,"26,8",664 367
Pomorskie,56 577,"26,8",1 519 065
Śląskie,36 492,"33,6",1 226 962
Świętokrzyskie,65 018,"32,4",2 104 601
Warmińsko-mazurskie,52 663,"26,8",1 413 305
Wielkopolskie,181 084,"27,6",5 006 201
Zachodniopomorskie,86 504,"25,5",2 202 380
